cohort_month,period_number,retention_pct,cohort_size
2016-10,0,100.0,262.0
2017-01,0,100.0,717.0
2017-02,0,100.0,1628.0
2017-03,0,100.0,2503.0
2017-04,0,100.0,2256.0
2017-05,0,100.0,3451.0
2017-06,0,100.0,3037.0
2017-07,0,100.0,3752.0
2017-08,0,100.0,4057.0
2017-09,0,100.0,4004.0
2017-10,0,100.0,4328.0
2017-11,0,100.0,7060.0
2017-12,0,100.0,5338.0
2018-01,0,100.0,6842.0
2018-02,0,100.0,6288.0
2018-03,0,100.0,6774.0
2018-04,0,100.0,6582.0
2018-05,0,100.0,6506.0
2018-06,0,100.0,5878.0
2018-07,0,100.0,5949.0
2018-08,0,100.0,6144.0
2016-10,1,0.0,262.0
2017-01,1,0.2789400278940028,717.0
2017-02,1,0.18427518427518427,1628.0
2017-03,1,0.43947263284059124,2503.0
2017-04,1,0.6205673758865249,2256.0
2017-05,1,0.46363372935381053,3451.0
2017-06,1,0.49390846229832075,3037.0
2017-07,1,0.5330490405117271,3752.0
2017-08,1,0.6901651466600937,4057.0
2017-09,1,0.6993006993006993,4004.0
2017-10,1,0.7162661737523105,4328.0
2017-11,1,0.56657223796034,7060.0
2017-12,1,0.20606968902210565,5338.0
2018-01,1,0.33615901783104357,6842.0
2018-02,1,0.34987277353689566,6288.0
2018-03,1,0.39858281665190437,6774.0
2018-04,1,0.5925250683682771,6582.0
2018-05,1,0.522594528127882,6506.0
2018-06,1,0.4253147329023477,5878.0
2018-07,1,0.5210959825180703,5949.0
2018-08,1,,6144.0
2016-10,2,0.0,262.0
2017-01,2,0.2789400278940028,717.0
2017-02,2,0.3071253071253071,1628.0
2017-03,2,0.3595685177786656,2503.0
2017-04,2,0.22163120567375888,2256.0
2017-05,2,0.46363372935381053,3451.0
2017-06,2,0.39512676983865663,3037.0
2017-07,2,0.3464818763326226,3752.0
2017-08,2,0.3450825733300468,4057.0
2017-09,2,0.5494505494505495,4004.0
2017-10,2,0.2541589648798521,4328.0
2017-11,2,0.36827195467422097,7060.0
2017-12,2,0.2810041213937804,5338.0
2018-01,2,0.3653902367728734,6842.0
2018-02,2,0.3975826972010178,6288.0
2018-03,2,0.29524653085326247,6774.0
2018-04,2,0.3038590094196293,6582.0
2018-05,2,0.261297264063941,6506.0
2018-06,2,0.27220142905750255,5878.0
2018-07,2,,5949.0
2018-08,2,,6144.0
2016-10,3,0.0,262.0
2017-01,3,0.1394700139470014,717.0
2017-02,3,0.12285012285012285,1628.0
2017-03,3,0.3995205753096284,2503.0
2017-04,3,0.1773049645390071,2256.0
2017-05,3,0.28977108084613157,3451.0
2017-06,3,0.4280540006585446,3037.0
2017-07,3,0.2398720682302772,3752.0
2017-08,3,0.27113630761646534,4057.0
2017-09,3,0.27472527472527475,4004.0
2017-10,3,0.09242144177449169,4328.0
2017-11,3,0.16997167138810199,7060.0
2017-12,3,0.3372049456725365,5338.0
2018-01,3,0.29231218941829873,6842.0
2018-02,3,0.30216284987277353,6288.0
